"","rules","support","confidence","coverage","lift","count"
"63","{} => {beef}",0.0524656837824098,0.0524656837824098,1,1,516
"702","{pork} => {beef}",0.00762582613116421,0.132275132275132,0.0576512455516014,2.52117427505024,75
"704","{margarine} => {beef}",0.00620233858668022,0.105902777777778,0.0585663446873411,2.0185151539621,61
"706","{butter} => {beef}",0.0057956278596848,0.104587155963303,0.0554143365531266,1.99343930019202,57
"708","{newspapers} => {beef}",0.00640569395017794,0.0802547770700637,0.0798169801728521,1.52966227225596,63
"710","{domestic eggs} => {beef}",0.00599898322318251,0.094551282051282,0.0634468734112862,1.80215476545418,59
"712","{fruit/vegetable juice} => {beef}",0.00508388408744281,0.070323488045007,0.0722928317234367,1.34037113357102,50
"714","{whipped/sour cream} => {beef}",0.0067107269954245,0.0936170212765957,0.0716827656329436,1.78434768266535,66
"716","{pastry} => {beef}",0.00630401626842908,0.0708571428571429,0.0889679715302491,1.35054263565891,62
"718","{citrus fruit} => {beef}",0.00843924758515506,0.101965601965602,0.0827656329435689,1.9434722777746,83
"720","{sausage} => {beef}",0.00559227249618709,0.0595238095238095,0.0939501779359431,1.13452842377261,55
"722","{bottled water} => {beef}",0.00620233858668022,0.0561177552897884,0.110523640061007,1.06960876603696,61
"724","{tropical fruit} => {beef}",0.00762582613116421,0.0726744186046512,0.10493136756482,1.38518005228051,75
"726","{root vegetables} => {beef}",0.0173868835790544,0.159514925373134,0.108998474834774,3.04036684311003,171
"728","{soda} => {beef}",0.00813421453990849,0.0466472303206997,0.174377224199288,0.889099825976902,80
"730","{yogurt} => {beef}",0.0116929334011185,0.0838192419825073,0.139501779359431,1.59760124980225,115
"732","{rolls/buns} => {beef}",0.0136248093543467,0.0740740740740741,0.183934926283681,1.41185759402814,134
"734","{other vegetables} => {beef}",0.0197254702592781,0.10194429847609,0.193492628368073,1.94306623161308,194
"736","{whole milk} => {beef}",0.0212506354855109,0.0831675288499801,0.255516014234875,1.58517954697588,209
"1376","{root vegetables,other vegetables} => {beef}",0.00793085917641078,0.167381974248927,0.047381799694967,3.19031340453139,78
"1379","{root vegetables,whole milk} => {beef}",0.00803253685815963,0.164241164241164,0.0489069649211998,3.13044932230979,79
"1382","{other vegetables,yogurt} => {beef}",0.00518556176919166,0.11943793911007,0.0434163701067616,2.27649637819291,51
"1385","{whole milk,yogurt} => {beef}",0.00610066090493137,0.108892921960073,0.0560244026436197,2.07550753387076,60
"1388","{other vegetables,rolls/buns} => {beef}",0.0057956278596848,0.136038186157518,0.0426029486527707,2.59289837375812,57
"1391","{whole milk,rolls/buns} => {beef}",0.00681240467717336,0.120287253141831,0.0566344687341129,2.29268436947657,67
"1394","{other vegetables,whole milk} => {beef}",0.00925266903914591,0.123641304347826,0.0748347737671581,2.3566128454668,91
